accepted_name,sources,synonym_count,synonyms,synonyms_detailed,contested_synonym_count,contested_synonyms,accepted_name_full,accepted_authority,family,genus,species,taxon_rank,description_year,cites_appendix,cites_full_note,wcvp_plant_name_id,wcvp_ipni_id,wfo_taxon_id,basionym,first_published,place_of_publication,geographic_area,classification,unique_to_source,raw_extras
Hemipilia jooiokiana,wfo,0,,,5,"Chusua joo-iokiana, Orchis joo-iokiana, Orchis matsumurana, Ponerorchis joo-iokiana, Ponerorchis pauciflora","Hemipilia jooiokiana (Makino) Y.Tang, H.Peng & T.Yukawa","(Makino) Y.Tang, H.Peng & T.Yukawa",Orchidaceae,Hemipilia,jooiokiana,species,2015,,,,,wfo-1000035605,,BioMed Centr. Evol. Biol. 15(96): 27 (2015),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000259439"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77206956-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""wfo_nomenclatural_status"": ""Valid""}"
Hemipilia kaiyangense,wcvp,1,Amitostigma kaiyangense,Amitostigma kaiyangense [Homotypic; wcvp],0,,Hemipilia kaiyangense (S.Z.He & Yong Wang) R.Kr.Singh & Sanjeet Kumar,(S.Z.He & Yong Wang) R.Kr.Singh & Sanjeet Kumar,Orchidaceae,Hemipilia,kaiyangense,Species,2024,,,3315335,77350098-1,,3293428,(2024),J. Biodivers. Conservation,China (Guizhou),unambiguous_accepted,wcvp,"{""climate_description"": ""subtropical"", ""volume_and_page"": ""8(4): 90""}"
Hemipilia kinoshitae,wcvp,0,,,7,"Amitostigma hisamatsui, Amitostigma kinoshitae, Gymnadenia gracilis, Gymnadenia keiskei, Gymnadenia kinoshitae, Orchis kinoshitae, Ponerorchis kinoshitae","Hemipilia kinoshitae (Makino) Y.Tang, H.Peng & T.Yukawa","(Makino) Y.Tang, H.Peng & T.Yukawa",Orchidaceae,Hemipilia,kinoshitae,Species,2015,,,538341,77206791-1,,274285,(2015),BioMed Centr. Evol. Biol.,"S. Kuril Is. to Japan (Hokkaido, N. Honshu)",unambiguous_accepted,wcvp,"{""climate_description"": ""temperate"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""15(96): 25""}"
Hemipilia kinoshitai,wfo,0,,,7,"Amitostigma hisamatsui, Amitostigma kinoshitae, Gymnadenia gracilis, Gymnadenia keiskei, Gymnadenia kinoshitae, Orchis kinoshitae, Ponerorchis kinoshitae","Hemipilia kinoshitai (Makino) Y.Tang, H.Peng & T.Yukawa","(Makino) Y.Tang, H.Peng & T.Yukawa",Orchidaceae,Hemipilia,kinoshitai,species,2015,,,,,wfo-1000035578,,BioMed Centr. Evol. Biol. 15(96): 25 (2015),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77206791-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""wfo_nomenclatural_status"": ""Valid""}"
Hemipilia nana,wcvp,0,,,7,"Chusua nana, Chusua roborowskyi, Gymnadenia chusua, Orchis chusua, Orchis nana, Ponerorchis chusua, Ponerorchis nana",Hemipilia nana (King & Pantl.) J.M.H.Shaw,(King & Pantl.) J.M.H.Shaw,Orchidaceae,Hemipilia,nana,Species,2023,,,3314951,77337190-1,,142348,(2023),Orchids (West Palm Beach),Himalaya to Tibet,unambiguous_accepted,wcvp,"{""climate_description"": ""subalpine or subarctic"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""92: 895""}"
Hemipilia nanoides,wcvp,0,,,2,"Apetalanthe gracilis, Ponerorchis nanoides",Hemipilia nanoides (Schuit. & X.H.Jin) R.Kr.Singh & Sanjeet Kumar,(Schuit. & X.H.Jin) R.Kr.Singh & Sanjeet Kumar,Orchidaceae,Hemipilia,nanoides,Species,2024,,,3315326,77350099-1,,3294438,(2024),J. Biodivers. Conservation,Vietnam,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""8(4): 90""}"
Hemipilia papilionacea,wcvp,1,Amitostigma papilionaceum,Amitostigma papilionaceum [Homotypic; wcvp],1,Ponerorchis papilionacea,"Hemipilia papilionacea (Tang, F.T.Wang & K.Y.Lang) R.Kr.Singh & Sanjeet Kumar","(Tang, F.T.Wang & K.Y.Lang) R.Kr.Singh & Sanjeet Kumar",Orchidaceae,Hemipilia,papilionacea,Species,2024,,,3315316,77350100-1,,8001,(2024),J. Biodivers. Conservation,China (NW. Sichuan),unambiguous_accepted,wcvp,"{""climate_description"": ""temperate"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""8(4): 90""}"
Hemipilia pathakiana,wcvp,1,Amitostigma pathakianum,Amitostigma pathakianum [Homotypic; wcvp],1,Ponerorchis pathakiana,Hemipilia pathakiana (Av.Bhattacharjee) R.Kr.Singh & Sanjeet Kumar,(Av.Bhattacharjee) R.Kr.Singh & Sanjeet Kumar,Orchidaceae,Hemipilia,pathakiana,Species,2024,,,3315328,77350101-1,,497699,(2024),J. Biodivers. Conservation,Arunachal Pradesh,unambiguous_accepted,wcvp,"{""climate_description"": ""temperate"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""8(4): 90""}"
Hemipilia wolongensis,wcvp,1,Ponerorchis wolongensis,Ponerorchis wolongensis [Homotypic; wcvp],0,,"Hemipilia wolongensis (G.W.Hu, Yue H.Cheng & Q.F.Wang) R.Kr.Singh & Sanjeet Kumar","(G.W.Hu, Yue H.Cheng & Q.F.Wang) R.Kr.Singh & Sanjeet Kumar",Orchidaceae,Hemipilia,wolongensis,Species,2024,,,3315329,77350102-1,,3295040,(2024),J. Biodivers. Conservation,China (Sichuan),unambiguous_accepted,wcvp,"{""climate_description"": ""temperate"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""8(4): 91""}"
Hemipilia zhuxiensis,wcvp,0,,,0,,Hemipilia zhuxiensis Hong Liu,Hong Liu,Orchidaceae,Hemipilia,zhuxiensis,Species,2024,,,3315124,77350375-1,,<NA>,(2024),PhytoKeys,China (Hubei),unambiguous_accepted,wcvp,"{""climate_description"": ""temperate"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""247: 209""}"
Herminium kamengensis,wfo,0,,,0,,Herminium kamengensis A.N.Rao,A.N.Rao,Orchidaceae,Herminium,kamengensis,species,2001,,,,,wfo-0001264784,,J. Econ. Taxon. Bot. 25(2): 287–289 2001,,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50214870 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-50214870 >The Plant List v.1.0</a>"", ""tplId"": ""tro-50214870"", ""wfo_nomenclatural_status"": ""Valid""}"
Herminium kumaunensis,wfo,0,,,0,,Herminium kumaunensis Deva & H.B.Naithani,Deva & H.B.Naithani,Orchidaceae,Herminium,kumaunensis,species,1986,,,,,wfo-0000981664,,Orchid Fl. N.W. Himalaya : 159 (1986),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:931416-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Orchid Fl. N.W. Himalaya 159 (1986). to Orchid Fl. N.W. Himalaya : 159 (1986), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t"", ""tplId"": ""kew-98511"", ""wfo_nomenclatural_status"": ""Valid""}"
Herminium mackinnonii,wfo,0,,,1,Monorchis mackinonii,Herminium mackinnonii Duthie,Duthie,Orchidaceae,Herminium,mackinnonii,species,1902,,,,,wfo-0000981675,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 71: 44 (1902)",,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:638619-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 71(1): 44, as mackinnoni. 1902 [1903 publ. 8 May 1902] to J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 71: 44 (1902), information provided by Alan E. on email Jun."", ""tplId"": ""kew-98521"", ""wfo_nomenclatural_status"": ""Valid""}"
Herminorchis aschersonii,wfo,1,Hermibicchia aschersonii,Hermibicchia aschersonii [Unknown; wfo],0,,Herminorchis × aschersonii (E.G.Camus) P.Fourn.,(E.G.Camus) P.Fourn.,Orchidaceae,Herminorchis,aschersonii,species,1935,,,,,wfo-0001223142,,Quatre Fl. France 201. 1935 [1 Oct 1935],,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0001222896"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: tro Updated scientificnameAuthorship from (Camus & A.Camus) P.Fourn. to (E.G.Camus) P.Fourn., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-"", ""tplId"": ""tro-50028690"", ""wfo_nomenclatural_status"": ""Valid""}"
Hoffmannseggella hatae,wcvp,1,Cattleya hatae,Cattleya hatae [Homotypic; wcvp],0,,Hoffmannseggella hatae V.P.Castro & K.G.Lacerda,V.P.Castro & K.G.Lacerda,Orchidaceae,Hoffmannseggella,hatae,,,,,347117,,,,,,,unambiguous_accepted,wcvp,
Hoffmannseggella itabiritensis,wcvp,1,Cattleya itabiritensis,Cattleya itabiritensis [Nomenclatural; wcvp],0,,Hoffmannseggella × itabiritensis K.G.Lacerda,K.G.Lacerda,Orchidaceae,Hoffmannseggella,itabiritensis,Species,2006,,,347120,77074899-1,,<NA>,(2006),Richardiana,,unambiguous_accepted,wcvp,"{""hybrid"": true, ""nomenclatural_remarks"": "", nom. subnud."", ""volume_and_page"": ""6: 63""}"
Holcoglossum clausum,wcvp,0,,,0,,"Holcoglossum clausum Wojtas, C.Bandara & Kumar","Wojtas, C.Bandara & Kumar",Orchidaceae,Holcoglossum,clausum,Species,2024,,,3315133,77337848-1,,<NA>,(2024),Phytotaxa,Myanmar to Thailand,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""638: 258""}"
Holcoglossum watsonii,wcvp,0,,,1,Vanda watsonii,Holcoglossum watsonii (Rolfe) J.M.H.Shaw,(Rolfe) J.M.H.Shaw,Orchidaceae,Holcoglossum,watsonii,Species,2021,,,3305178,77315725-1,,211573,(2021),Orchid Rev.,S. Vietnam,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphytic subshrub"", ""volume_and_page"": ""129(1333, Suppl.): 19""}"
Holcoglossum ﬂavescens (Schltr.) Z.H.Tsi,cites_pdf,1,Aerides ﬂavescens Schltr.,Aerides ﬂavescens Schltr. [Unknown; cites_pdf],0,,Holcoglossum ﬂavescens (Schltr.) Z.H.Tsi,,Orchidaceae,Holcoglossum,ﬂavescens (Schltr.) Z.H.Tsi,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""accepted_genus"": ""Holcoglossum"", ""page"": 17, ""y"": 204.0}"
Holothrix macowaniana,wfo,1,Tryphia macowaniana,Tryphia macowaniana [Unknown; wfo],0,,Holothrix macowaniana Rchb.f.,Rchb.f.,Orchidaceae,Holothrix,macowaniana,species,1881,,,,,wfo-0000982892,,Otia Bot. Hamburg. : 108 (1881),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:638912-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Otia Bot. Hamburg. 2: 108. 1881 [8 Aug 1881] to Otia Bot. Hamburg. : 108 (1881), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org"", ""tplId"": ""kew-99738"", ""wfo_nomenclatural_status"": ""Valid""}"
