accepted_name,sources,synonym_count,synonyms,synonyms_detailed,contested_synonym_count,contested_synonyms,accepted_name_full,accepted_authority,family,genus,species,taxon_rank,description_year,cites_appendix,cites_full_note,wcvp_plant_name_id,wcvp_ipni_id,wfo_taxon_id,basionym,first_published,place_of_publication,geographic_area,classification,unique_to_source,raw_extras
Crepidium discolor,wcvp,0,,,3,"Malaxis discolor, Microstylis discolor, Seidenfia discolor",Crepidium discolor (Lindl.) R.Kr.Singh & Sanjeet Kumar,(Lindl.) R.Kr.Singh & Sanjeet Kumar,Orchidaceae,Crepidium,discolor,Species,2024,,,3312861,77350093-1,,127755,(2024),J. Biodivers. Conservation,Sri Lanka,unambiguous_accepted,wcvp,"{""climate_description"": ""seasonally dry tropical"", ""lifeform_description"": ""pseudobulbous geophyte"", ""volume_and_page"": ""8(4): 88""}"
Crepidium dolichostachys,wcvp,2,"Malaxis dolichostachys, Microstylis dolichostachys","Malaxis dolichostachys [Homotypic; wcvp], Microstylis dolichostachys [Homotypic; wcvp]",0,,Crepidium dolichostachys (Schltr.) Szlach.,(Schltr.) Szlach.,Orchidaceae,Crepidium,dolichostachys,Species,1995,,,48867,988133-1,,127758,(1995),Fragm. Florist. Geobot.,Papua New Guinea,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""pseudobulbous geophyte"", ""volume_and_page"": "", Suppl. 3: 126""}"
Crepidium hippocrepiforme,wcvp,0,,,2,"Malaxis hippocrepiformis, Pseudoliparis hippocrepiformis",Crepidium hippocrepiforme (J.J.Wood) Marg. & Szlach.,(J.J.Wood) Marg. & Szlach.,Orchidaceae,Crepidium,hippocrepiforme,Species,2001,,,48892,20000602-1,,118282,(2001),Polish Bot. J.,Papua New Guinea,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""pseudobulbous geophyte"", ""volume_and_page"": ""46: 69""}"
Crepidium kerstigianum,wfo,0,,,2,"Malaxis kerstingiana, Microstylis kerstingiana",Crepidium kerstigianum (Schltr.) Szlach.,(Schltr.) Szlach.,Orchidaceae,Crepidium,kerstigianum,species,1995,,,,,wfo-0000926905,,"Fragm. Florist. Geobot., Suppl. 3: 127 (1995)",,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000243905"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:988162-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Fragm. Florist. Geobot. Supp. 3: 127 (1995):. to Fragm. Florist. Geobot. , Suppl. 3: 127 (1995), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www."", ""tplId"": ""kew-48906"", ""wfo_nomenclatural_status"": ""Valid""}"
Crepidium lancifolium,wcvp,0,,,4,"Malaxis lancifolia, Malaxis thwaitesii, Microstylis lancifolia, Seidenfia lancifolia",Crepidium lancifolium (Thwaites) R.Kr.Singh & Sanjeet Kumar,(Thwaites) R.Kr.Singh & Sanjeet Kumar,Orchidaceae,Crepidium,lancifolium,Species,2024,,,3312862,77350094-1,,127840,(2024),J. Biodivers. Conservation,Sri Lanka,unambiguous_accepted,wcvp,"{""climate_description"": ""seasonally dry tropical"", ""lifeform_description"": ""pseudobulbous geophyte"", ""volume_and_page"": ""8(4): 88""}"
Crepidium maboroense,wcvp,0,,,3,"Malaxis maboroensis, Microstylis maboroensis, Pseudoliparis maboroensis",Crepidium maboroense (Schltr.) Szlach.,(Schltr.) Szlach.,Orchidaceae,Crepidium,maboroense,Species,1995,,,48934,988179-1,,127869,(1995),Fragm. Florist. Geobot.,Papua New Guinea,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""pseudobulbous geophyte"", ""volume_and_page"": "", Suppl. 3: 128""}"
Crepidium magnicallosum,wcvp,0,,,1,Pseudoliparis magnicallosa,Crepidium magnicallosum (Marg. & Szlach.) J.M.H.Shaw,(Marg. & Szlach.) J.M.H.Shaw,Orchidaceae,Crepidium,magnicallosum,Species,2014,,,489480,77139710-1,,166358,(2014),Orchid Rev.,Solomon Is.,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""pseudobulbous geophyte"", ""volume_and_page"": ""122(1306, Suppl.): 37""}"
Crepidium malabaricum,wcvp,0,,,1,Seidenfia malabarica,Crepidium malabaricum (Marg. & Szlach.) J.M.H.Shaw,(Marg. & Szlach.) J.M.H.Shaw,Orchidaceae,Crepidium,malabaricum,Species,2014,,,489444,77139711-1,,190400,(2014),Orchid Rev.,SW. India,unambiguous_accepted,wcvp,"{""climate_description"": ""seasonally dry tropical"", ""lifeform_description"": ""pseudobulbous geophyte"", ""volume_and_page"": ""122(1306, Suppl.): 37""}"
Crepidium malinowskianum,wcvp,1,Pseudoliparis malinowskiana,Pseudoliparis malinowskiana [Homotypic; wcvp],0,,Crepidium malinowskianum (Marg.) Ormerod & Juswara,(Marg.) Ormerod & Juswara,Orchidaceae,Crepidium,malinowskianum,Species,2024,,,3313379,77346093-1,,538240,(2024),Harvard Pap. Bot.,Papua New Guinea,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""volume_and_page"": ""29: 144""}"
Crepidium manikathilum,wcvp,1,Seidenfia manikathila,Seidenfia manikathila [Homotypic; wcvp],0,,"Crepidium manikathilum (J.Mathew, P.M.Salim & Szlach.) R.Kr.Singh & Sanjeet Kumar","(J.Mathew, P.M.Salim & Szlach.) R.Kr.Singh & Sanjeet Kumar",Orchidaceae,Crepidium,manikathilum,Species,2024,,,3312863,77350095-1,,3295892,(2024),J. Biodivers. Conservation,India (Kerala),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""volume_and_page"": ""8(4): 89""}"
Crepidium meghalayensis,wcvp,0,,,0,,"Crepidium meghalayensis Murug., Sushil K.Singh & A.A.Mao","Murug., Sushil K.Singh & A.A.Mao",Orchidaceae,Crepidium,meghalayensis,Species,2016,,,3313362,77346756-1,,<NA>,(2016),Keanean J. Sci.,Assam (Meghalaya),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""volume_and_page"": ""5: 9""}"
Crepidium oculus-draconis,wcvp,0,,,0,,Crepidium oculus-draconis P.T.Ong,P.T.Ong,Orchidaceae,Crepidium,oculus-draconis,Species,2023,,,3303083,77319088-1,,<NA>,(2023),Malesian Orchid J.,Pen. Malaysia,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""volume_and_page"": ""26: 27""}"
Crepidium papuanum,wcvp,1,Saurolophorkis papuana,Saurolophorkis papuana [Homotypic; wcvp],0,,Crepidium papuanum (Marg.) Ormerod & Juswara,(Marg.) Ormerod & Juswara,Orchidaceae,Crepidium,papuanum,Species,2024,,,3313378,77346094-1,,531329,(2024),Harvard Pap. Bot.,Papua New Guinea,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""volume_and_page"": ""29: 144""}"
Crepidium purpureoviride,wfo,0,,,2,"Malaxis purpureoviridis, Microstylis purpureoviridis",Crepidium purpureoviride (J.J.Sm.) Marg.,(J.J.Sm.) Marg.,Orchidaceae,Crepidium,purpureoviride,species,2012,,,,,wfo-0001336040,,Taxon. Red. Subtribe Malaxidinae : 135 (2012),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000244064"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77129191-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: ipni Update namepublishedIn from Taxon. Red. Subtribe Malaxidinae 135. 2012 , as 'purpureo-viridis' to Taxon. Red. Subtribe Malaxidinae : 135 (2012), information provided by Alan E. on email Jun. 07 2021"", ""wfo_nomenclatural_status"": ""Valid""}"
Crepidium roohutuense,wcvp,0,,,2,"Malaxis roohutuensis, Microstylis roohutuensis",Crepidium roohutuense (Fukuy.) T.C.Hsu,(Fukuy.) T.C.Hsu,Orchidaceae,Crepidium,roohutuense,Species,2016,,,520306,77155924-1,,127998,(2016),Ill. Fl. Taiwan,S. Taiwan,unambiguous_accepted,wcvp,"{""climate_description"": ""subtropical"", ""lifeform_description"": ""pseudobulbous geophyte"", ""volume_and_page"": ""1: 359""}"
Crepidium van-royenii,cites_csv,0,,,0,,Crepidium van-royenii (Szlach. & Marg.) Schuit. & de Vogel,(Szlach. & Marg.) Schuit. & de Vogel,Orchidaceae,Crepidium,van-royenii,,,II,,,,,,,,,unambiguous_accepted,cites_csv,
Crepidium wheatleyi,wcvp,0,,,0,,Crepidium wheatleyi Ormerod,Ormerod,Orchidaceae,Crepidium,wheatleyi,Species,2023,,,3313522,77336452-1,,<NA>,(2023),Orchadian,Vanuatu,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""volume_and_page"": ""21(2): 52""}"
Crossoglossa aurantilineata,wfo,0,,,0,,Crossoglossa aurantilineata Pupulin,Pupulin,Orchidaceae,Crossoglossa,aurantilineata,species,2000,,,,,wfo-0000927156,,Lindleyana 15(1): 23 (2000).,,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Updated namepublishedIn from Lindleyana 15: 23 2000 to Lindleyana 15(1): 23 (2000). , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-4914"", ""tplId"": ""kew-49149"", ""wfo_nomenclatural_status"": ""Valid""}"
Cryptochilus lutea,wfo,0,,,1,Cryptochilus farreri,Cryptochilus lutea Lindl.,Lindl.,Orchidaceae,Cryptochilus,lutea,species,1858,,,,,wfo-0000933155,,"J. Proc. Linn. Soc., Bot. 3: 21 (1858)",,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:624685-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from J. Proc. Linn. Soc., Bot. 3: 21. 1858 [1859 publ. 1858] to J. Proc. Linn. Soc., Bot. 3: 21 (1858), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://ww"", ""tplId"": ""kew-51945"", ""wfo_nomenclatural_status"": ""Valid""}"
Cryptochilus sanguinea,wfo,0,,,0,,Cryptochilus sanguinea Wall.,Wall.,Orchidaceae,Cryptochilus,sanguinea,species,1824,,,,,wfo-0000933159,,Tent. Fl. Napal. : 36 (1824),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:624689-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Tent. Fl. Napal. 1: 36. 1824 [Jul-Dec 1824] to Tent. Fl. Napal. : 36 (1824), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl"", ""tplId"": ""kew-51949"", ""wfo_nomenclatural_status"": ""Valid""}"
Cyclopogon camara-lereti,wcvp,0,,,0,,Cyclopogon camara-lereti Szlach. & Kolan.,Szlach. & Kolan.,Orchidaceae,Cyclopogon,camara-lereti,Species,2019,,,533252,77202368-1,,<NA>,(2019),Mater. Orchid Fl. Colombia,Colombia (Cundinamarca),unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""2: 245""}"
Cyclopogon camaraleretii,wfo,0,,,0,,Cyclopogon camaraleretii Szlach. & Kolan.,Szlach. & Kolan.,Orchidaceae,Cyclopogon,camaraleretii,species,2019,,,,,wfo-1000031835,,Mater. Orchid Fl. Colombia 2: 245 (2019),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77202368-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""wfo_nomenclatural_status"": ""Valid""}"
Cyclopogon guayanensis,wcvp,0,,,10,"Brachystele aguacatensis, Brachystele brenesii, Brachystele guayanensis, Goodyera guayanensis, Gyrostachys aguacatensis, Gyrostachys hostmannii, Spiranthes aguacatensis, Spiranthes brenesii, Spiranthes guayanensis, Spiranthes hostmannii",Cyclopogon guayanensis (Lindl.) B.M.Carvalho & Meneguzzo,(Lindl.) B.M.Carvalho & Meneguzzo,Orchidaceae,Cyclopogon,guayanensis,Species,2024,,,3313039,77344708-1,,91828,(2024),Phytotaxa,"Mexico to S. Trop. America, Trinidad",unambiguous_accepted,wcvp,"{""climate_description"": ""seasonally dry tropical"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""658: 110""}"
Cyclopogon pabstii,wcvp,2,"Brachystele hatschbachii, Stigmatosema hatschbachii","Brachystele hatschbachii [Homotypic; wcvp], Stigmatosema hatschbachii [Homotypic; wcvp]",0,,Cyclopogon pabstii U.B.Deshmukh & J.M.H.Shaw,U.B.Deshmukh & J.M.H.Shaw,Orchidaceae,Cyclopogon,pabstii,Species,2022,,,3303426,77320383-1,,23907,(2022),Orchid Rev.,Brazil (Paraná),unambiguous_accepted,wcvp,"{""climate_description"": ""subtropical"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""130(1338, Suppl.): 20""}"
Cyclopogon secundus,wfo,0,,,0,,Cyclopogon secundus Christenson,Christenson,Orchidaceae,Cyclopogon,secundus,species,2007,,,,,wfo-0000835241,,J. Bot. Res. Inst. Texas 1: 1001 (2007),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77094303-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from J. Bot. Res. Inst. Texas 1(2): 1001 (-1002; fig. 1). 2007 [12 Dec 2007] to J. Bot. Res. Inst. Texas 1: 1001 (2007), information provided by Alan E. on email Jun. 07 2021 More details could be found in"", ""tplId"": ""kew-372467"", ""wfo_nomenclatural_status"": ""Valid""}"
Cyclopogon soniae-juaniorum,wcvp,0,,,0,,Cyclopogon soniae-juaniorum Zambrano,Zambrano,Orchidaceae,Cyclopogon,soniae-juaniorum,Species,2018,,,529030,77192125-1,,<NA>,(2018),Phytotaxa,Ecuador,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""tuberous geophyte"", ""volume_and_page"": ""376: 202""}"
Cyclopogon soniaejuaniorum,wfo,0,,,0,,Cyclopogon soniaejuaniorum Zambrano,Zambrano,Orchidaceae,Cyclopogon,soniaejuaniorum,species,2018,,,,,wfo-1000003688,,Phytotaxa 376: 202 (2018),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77192125-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""wfo_nomenclatural_status"": ""Valid""}"
Cycnoches edgertonianum,wfo,0,,,1,Cycnoches stelliferum,Cycnoches edgertonianum var. viride Lindl.,Lindl.,Orchidaceae,Cycnoches,edgertonianum,variety,1846,,,,,wfo-0000934181,,Edwards's Bot. Reg. 32: t. 46 (1846),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:73812-2"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from Edwards's Bot. Reg. 32: tab. 46. 1846 to Edwards's Bot. Reg. 32: t. 46 (1846), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t"", ""tplId"": ""kew-52967"", ""wfo_nomenclatural_status"": ""Valid""}"
Cylindrolobus amphlettiae,wcvp,0,,,0,,Cylindrolobus amphlettiae Ormerod & K.Metzg.,Ormerod & K.Metzg.,Orchidaceae,Cylindrolobus,amphlettiae,Species,2024,,,3313409,77342378-1,,<NA>,(2024),"Orchidee, Taxon. Mitt.",Papua New Guinea,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""10: 68""}"
Cylindrolobus decipiens,wcvp,0,,,2,"Aporodes decipiens, Eria decipiens",Cylindrolobus decipiens (Schltr.) R.Kr.Singh & Sanjeet Kumar,(Schltr.) R.Kr.Singh & Sanjeet Kumar,Orchidaceae,Cylindrolobus,decipiens,Species,2024,,,3312834,77350096-1,,71051,(2024),J. Biodivers. Conservation,Sulawesi,unambiguous_accepted,wcvp,"{""climate_description"": ""wet tropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""8(4): 89""}"
Cylindrolobus fastigatifolius,wfo,1,Eria fastigatifolia,Eria fastigatifolia [Unknown; wfo],1,Trichotosia fastigiatifolia,Cylindrolobus fastigatifolius (Ames) Suárez,(Ames) Suárez,Orchidaceae,Cylindrolobus,fastigatifolius,species,2010,,,,,wfo-0000917242,,OrchideenJ. 17: 13 (2010),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000953014"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77104263-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from OrchideenJ. 17(1): 13 (-14). 2010 [15 Feb 2010] to OrchideenJ. 17: 13 (2010), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tp"", ""tplId"": ""kew-462574"", ""wfo_nomenclatural_status"": ""Valid""}"
Cylindrolobus gaoligongensis,wcvp,0,,,0,,Cylindrolobus gaoligongensis J.D.Ya & H.Jiang,J.D.Ya & H.Jiang,Orchidaceae,Cylindrolobus,gaoligongensis,Species,2023,,,3312974,77334026-1,,<NA>,(2023),Nordic J. Bot.,Arunachal Pradesh to China (Yunnan),unambiguous_accepted,wcvp,"{""climate_description"": ""subtropical"", ""lifeform_description"": ""epiphyte"", ""volume_and_page"": ""2023(12)-e04075: 2""}"
Cylindrolobus glanduliferus,wfo,0,,,1,Eria glandulifera,Cylindrolobus glanduliferus (Deori & Phukan) A.N.Rao,(Deori & Phukan) A.N.Rao,Orchidaceae,Cylindrolobus,glanduliferus,species,2010,,,,,wfo-0001335191,,Bull. Arunachal Forest Res. 26: 103 (2010),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000953053"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77125813-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: ipni Update namepublishedIn from Bull. Arunachal Forest Res. 26(1-2): 103. 2010 to Bull. Arunachal Forest Res. 26: 103 (2010), information provided by Alan E. on email Jun. 07 2021"", ""wfo_nomenclatural_status"": ""Valid""}"
Cylindrolobus perspicabilis,wfo,0,,,1,Eria perspicabilis,Cylindrolobus perspicabilis (Ames) Suárez,(Ames) Suárez,Orchidaceae,Cylindrolobus,perspicabilis,species,2010,,,,,wfo-0000917253,,OrchideenJ. 17: 13 (2010),,,unambiguous_accepted,wfo,"{""majorGroup"": ""A"", ""originalNameUsageID"": ""wfo-0000953351"", ""references"": ""https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77104264-1"", ""source"": ""World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."", ""taxonRemarks"": ""Source in seed data: wcs Update namepublishedIn from OrchideenJ. 17(1): 13 (-14). 2010 [15 Feb 2010] to OrchideenJ. 17: 13 (2010), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tp"", ""tplId"": ""kew-462586"", ""wfo_nomenclatural_status"": ""Valid""}"
Cymbidiella ﬂabellata (Thouars) Rolfe,cites_pdf,1,Cymbidium ﬂabellatum (Thouars) Spreng.,Cymbidium ﬂabellatum (Thouars) Spreng. [Unknown; cites_pdf],0,,Cymbidiella ﬂabellata (Thouars) Rolfe,,Orchidaceae,Cymbidiella,ﬂabellata (Thouars) Rolfe,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""accepted_genus"": ""Cymbidiella"", ""page"": 220, ""y"": 490.9}"
Cymbidium bicolor subsp. pubescens,cites_pdf,2,"Cymbidium aloifolium var. pubescens, Cymbidium pubescens var. celebicum","Cymbidium aloifolium var. pubescens [Unknown; cites_pdf], Cymbidium pubescens var. celebicum [Unknown; cites_pdf]",2,"Cymbidium celebicum, Cymbidium pubescens",Cymbidium bicolor subsp. pubescens (Lindl.) Du Puy & P.J.Cribb,(Lindl.) Du Puy & P.J.Cribb,Orchidaceae,Cymbidium,bicolor subsp. pubescens,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 217, ""y"": 395.3}"
Cymbidium cyperifolium subsp. cyperifolium,cites_pdf,1,Cymbidium viridiﬂorum Griﬀ.,Cymbidium viridiﬂorum Griﬀ. [Unknown; cites_pdf],5,"Cymbidium carnosum, Cyperorchis wallichii, Geodorum longifolium, Limodorum cyperifolium, Limodorum longifolium",Cymbidium cyperifolium subsp. cyperifolium,,Orchidaceae,Cymbidium,cyperifolium subsp. cyperifolium,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 218, ""y"": 419.2}"
Cymbidium cyperifolium var. szechuanicum,cites_pdf,1,Cymbidium faberi var. szechuanicum,Cymbidium faberi var. szechuanicum [Unknown; cites_pdf],1,Cymbidium szechuanicum,Cymbidium cyperifolium var. szechuanicum (Y.S.Wu & S.C.Chen) S.C.Chen & Z.J.Liu,(Y.S.Wu & S.C.Chen) S.C.Chen & Z.J.Liu,Orchidaceae,Cymbidium,cyperifolium var. szechuanicum,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 220, ""y"": 371.4}"
Cymbidium elegans var. elegans,cites_pdf,3,"Cymbidium densiﬂorum Griﬀ., Cymbidium elegans var. lutescens, Cymbidium elegans var. obcordatum","Cymbidium densiﬂorum Griﬀ. [Unknown; cites_pdf], Cymbidium elegans var. lutescens [Unknown; cites_pdf], Cymbidium elegans var. obcordatum [Unknown; cites_pdf]",3,"Cymbidium longifolium, Cyperorchis longifolia, Limodorum angustifolium",Cymbidium elegans var. elegans,,Orchidaceae,Cymbidium,elegans var. elegans,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 219, ""y"": 311.6}"
Cymbidium elegans var. lushuiense,cites_pdf,0,,,1,Cymbidium lushuiense,"Cymbidium elegans var. lushuiense (Z.J.Liu, S.C.Chen & X.C.Shi) Z.J.Liu & S.C.Chen","(Z.J.Liu, S.C.Chen & X.C.Shi) Z.J.Liu & S.C.Chen",Orchidaceae,Cymbidium,elegans var. lushuiense,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 223, ""y"": 514.9}"
Cymbidium erythraeum var. erythraeum,cites_pdf,0,,,2,"Cymbidium hennisianum, Cyperorchis hennisiana",Cymbidium erythraeum var. erythraeum,,Orchidaceae,Cymbidium,erythraeum var. erythraeum,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 221, ""y"": 718.1}"
Cymbidium erythraeum var. ﬂavum,cites_pdf,1,Cymbidium ﬂavum Z.J.Liu & J.Yong Zhang.,Cymbidium ﬂavum Z.J.Liu & J.Yong Zhang. [Unknown; cites_pdf],0,,"Cymbidium erythraeum var. ﬂavum (Z.J.Liu & J.Yong Zhang) Z.J.Liu, S.C.Chen & P.J.Cribb","(Z.J.Liu & J.Yong Zhang) Z.J.Liu, S.C.Chen & P.J.Cribb",Orchidaceae,Cymbidium,erythraeum var. ﬂavum,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 220, ""y"": 562.7}"
Cymbidium fugongense,wcvp,0,,,0,,"Cymbidium × fugongense S.Ke, S.R.Lan & Z.J.Liu","S.Ke, S.R.Lan & Z.J.Liu",Orchidaceae,Cymbidium,fugongense,Species,2023,,,3302926,77324815-1,,<NA>,(2023),Phytotaxa,China (SE. Yunnan),unambiguous_accepted,wcvp,"{""climate_description"": ""subtropical"", ""hybrid"": true, ""lifeform_description"": ""pseudobulbous epiphyte"", ""volume_and_page"": ""606: 288""}"
Cymbidium gongshanense,cites_csv,0,,,0,,Cymbidium gongshanense H.Li & G.H.Feng,H.Li & G.H.Feng,Orchidaceae,Cymbidium,gongshanense,,,II,,,,,,,,,unambiguous_accepted,cites_csv,
Cymbidium hanburyanum,wcvp,1,Cymbidium fuerstenbergianum,Cymbidium fuerstenbergianum [Heterotypic; wcvp],0,,Cymbidium × hanburyanum Rolfe,Rolfe,Orchidaceae,Cymbidium,hanburyanum,,,,,53223,,,,,,,unambiguous_accepted,wcvp,
Cymbidium ledinhhienii,wcvp,0,,,0,,"Cymbidium ledinhhienii Aver., Vuong & V.C.Nguyen","Aver., Vuong & V.C.Nguyen",Orchidaceae,Cymbidium,ledinhhienii,Species,2024,,,3313109,77352396-1,,<NA>,(2024),Turczaninowia,Vietnam,unambiguous_accepted,wcvp,"{""climate_description"": ""subtropical"", ""volume_and_page"": ""27(3): 7""}"
Cymbidium lowianum var. kalawense,cites_pdf,2,"Cymbidium grandiﬂorum var. kalawense Colyear., Cymbidium lowianum var. iansonii","Cymbidium grandiﬂorum var. kalawense Colyear. [Unknown; cites_pdf], Cymbidium lowianum var. iansonii [Unknown; cites_pdf]",3,"Cymbidium iansonii, Cymbidium mandaianum, Cyperorchis iansonii",Cymbidium lowianum var. kalawense (Colyear) Govaerts,(Colyear) Govaerts,Orchidaceae,Cymbidium,lowianum var. kalawense,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 221, ""y"": 610.5}"
Cymbidium lowianum var. lowianum,cites_pdf,4,"Cymbidium lowianum f. concolor, Cymbidium lowianum var. concolor, Cymbidium lowianum var. superbissimum, Cymbidium lowianum var. viride","Cymbidium lowianum f. concolor [Unknown; cites_pdf], Cymbidium lowianum var. concolor [Unknown; cites_pdf], Cymbidium lowianum var. superbissimum [Unknown; cites_pdf], Cymbidium lowianum var. viride [Unknown; cites_pdf]",0,,Cymbidium lowianum var. lowianum,,Orchidaceae,Cymbidium,lowianum var. lowianum,,,,,,,,,,,,unambiguous_accepted,cites_pdf,"{""page"": 223, ""y"": 371.4}"
Cymbidium magnificum,wcvp,0,,,0,,Cymbidium × magnificum Schltr.,Schltr.,Orchidaceae,Cymbidium,magnificum,Species,1918,,,53286,625083-1,,<NA>,(1918),Orchis,,unambiguous_accepted,wcvp,"{""hybrid"": true, ""volume_and_page"": ""12: 47""}"
Cymbidium maronii,wcvp,0,,,0,,Cymbidium × maronii Rolfe & Hurst,Rolfe & Hurst,Orchidaceae,Cymbidium,maronii,Species,1909,,,53291,77239568-1,,<NA>,(1909),Orchid Stud-Book,,unambiguous_accepted,wcvp,"{""hybrid"": true, ""volume_and_page"": "": 70""}"
