binomial,source,source_says_relation,source_says_accepted_parent,source_record_id,authority,synonym_type,contest_class,contest_reason,evidence,n_sources_accepted,n_sources_synonym,all_claimed_parents,name_full
Lissochilus graniticus,wfo,synonym_of,Eulophia granitica|Eulophia streptopetala,wfo-0000229349,Rchb.f.,Unknown,parent_conflict,"placed in 2 different parents: Eulophia granitica, Eulophia streptopetala",explicit,0,2,Eulophia granitica|Eulophia streptopetala,Lissochilus graniticus Rchb.f.
Lissochilus hereroensis,wcvp,synonym_of,Eulophia speciosa,113945,Kraenzl.,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus hereroensis Kraenzl.
Lissochilus hereroensis,wfo,synonym_of,Eulophia speciosa,wfo-0000229353,Kraenzl.,Unknown,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus hereroensis Kraenzl.
Lissochilus hereroensis,user_synonyms,synonym_of,Eulophia speciosa,14541,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus hereroensis
Lissochilus homblei,wcvp,synonym_of,Eulophia speciosa,113950,De Wild.,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus homblei De Wild.
Lissochilus homblei,wfo,synonym_of,Eulophia speciosa,wfo-0000229359,De Wild.,Unknown,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus homblei De Wild.
Lissochilus homblei,user_synonyms,synonym_of,Eulophia speciosa,14540,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia speciosa, but Eulophia speciosa is itself contested",explicit,0,3,Eulophia speciosa,Lissochilus homblei
Lissochilus katentaniensis,wcvp,synonym_of,Eulophia angolensis,113960,De Wild.,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus katentaniensis De Wild.
Lissochilus katentaniensis,wfo,synonym_of,Eulophia angolensis,wfo-0000229369,De Wild.,Unknown,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus katentaniensis De Wild.
Lissochilus katentaniensis,user_synonyms,synonym_of,Eulophia angolensis,14371,,Heterotypic,parent_contested,"all 3 source(s) place it in Eulophia angolensis, but Eulophia angolensis is itself contested",explicit,0,3,Eulophia angolensis,Lissochilus katentaniensis
Lissochilus kraenzlinii,wcvp,synonym_of,Eulophia orthoplectra,113964,Rolfe,Heterotypic,parent_contested,"all 2 source(s) place it in Eulophia orthoplectra, but Eulophia orthoplectra is itself contested",explicit,0,2,Eulophia orthoplectra,Lissochilus kraenzlinii Rolfe
