binomial,source,source_says_relation,source_says_accepted_parent,source_record_id,authority,synonym_type,contest_class,contest_reason,evidence,n_sources_accepted,n_sources_synonym,all_claimed_parents,name_full
Aa hartwegii,wcvp,synonym_of,Aa maderoi,13,Garay,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Aa maderoi)",explicit,1,2,Aa maderoi,Aa hartwegii Garay
Aa hartwegii,wfo,synonym_of,Aa maderoi,wfo-0000246158,Garay,Unknown,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Aa maderoi)",explicit,1,2,Aa maderoi,Aa hartwegii Garay
Aa hartwegii,cites_csv,accepted,,55877,"Garay, 1978",,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Aa maderoi)",explicit,1,2,Aa maderoi,"Aa hartwegii Garay, 1978"
Aa lorentzii,wcvp,synonym_of,Aa achalensis,18,Schltr.,Heterotypic,status_conflict,"accepted by cites_csv, wfo; treated as a synonym by user_synonyms, wcvp (of Aa achalensis)",explicit,2,2,Aa achalensis,Aa lorentzii Schltr.
Aa lorentzii,wfo,accepted,,wfo-0000298187,Schltr.,,status_conflict,"accepted by cites_csv, wfo; treated as a synonym by user_synonyms, wcvp (of Aa achalensis)",explicit,2,2,Aa achalensis,Aa lorentzii Schltr.
Aa lorentzii,cites_csv,accepted,,80492,"Schltr., 1920",,status_conflict,"accepted by cites_csv, wfo; treated as a synonym by user_synonyms, wcvp (of Aa achalensis)",explicit,2,2,Aa achalensis,"Aa lorentzii Schltr., 1920"
Aa lorentzii,user_synonyms,synonym_of,Aa achalensis,17292,,Heterotypic,status_conflict,"accepted by cites_csv, wfo; treated as a synonym by user_synonyms, wcvp (of Aa achalensis)",explicit,2,2,Aa achalensis,Aa lorentzii
Aa nubigena,wcvp,synonym_of,Myrosmodes nubigena,26,(Rchb.f.) Schltr.,Homotypic,parent_conflict,"placed in 2 different parents: Myrosmodes nubigena, Myrosmodes nubigenum",explicit,0,2,Myrosmodes nubigena|Myrosmodes nubigenum,Aa nubigena (Rchb.f.) Schltr.
Aa nubigena,wfo,synonym_of,Myrosmodes nubigenum,wfo-0000504099,(Rchb.f.) Schltr.,Unknown,parent_conflict,"placed in 2 different parents: Myrosmodes nubigena, Myrosmodes nubigenum",explicit,0,2,Myrosmodes nubigena|Myrosmodes nubigenum,Aa nubigena (Rchb.f.) Schltr.
Aa ustulata,wcvp,synonym_of,Myrosmodes ustulata,37,Schltr.,Homotypic,parent_conflict,"placed in 2 different parents: Myrosmodes ustulata, Myrosmodes ustulatum",explicit,0,2,Myrosmodes ustulata|Myrosmodes ustulatum,Aa ustulata Schltr.
Aa ustulata,wfo,synonym_of,Myrosmodes ustulatum,wfo-0000832804,Schltr.,Unknown,parent_conflict,"placed in 2 different parents: Myrosmodes ustulata, Myrosmodes ustulatum",explicit,0,2,Myrosmodes ustulata|Myrosmodes ustulatum,Aa ustulata Schltr.
Acacallis caerulea,wcvp,synonym_of,Aganisia cyanea,466824,(Hoehne) Hoehne,Nomenclatural,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis caerulea (Hoehne) Hoehne
Acacallis caerulea,wfo,synonym_of,Aganisia cyanea,wfo-0000921256,(Hoehne) Hoehne,Unknown,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis caerulea (Hoehne) Hoehne
Acacallis caerulea,user_synonyms,synonym_of,Aganisia cyanea,13176,,Heterotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis caerulea
Acacallis cyanea,wcvp,synonym_of,Aganisia cyanea,121,Lindl.,Homotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis cyanea Lindl.
Acacallis cyanea,wfo,synonym_of,Aganisia cyanea,wfo-0000236758,Lindl.,Unknown,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis cyanea Lindl.
Acacallis cyanea,user_synonyms,synonym_of,Aganisia cyanea,13174,,Homotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis cyanea
Acacallis hoehnei,wcvp,synonym_of,Aganisia cyanea,123,Schltr.,Heterotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis hoehnei Schltr.
Acacallis hoehnei,wfo,synonym_of,Aganisia cyanea,wfo-0000238912,Schltr.,Unknown,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis hoehnei Schltr.
Acacallis hoehnei,user_synonyms,synonym_of,Aganisia cyanea,13169,,Heterotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis hoehnei
Acacallis rosariana,wcvp,synonym_of,Aganisia cyanea,125,V.P.Castro & J.B.F.Silva,Heterotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis rosariana V.P.Castro & J.B.F.Silva
Acacallis rosariana,wfo,synonym_of,Aganisia cyanea,wfo-0000240995,V.P.Castro & J.B.F.Silva,Unknown,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis rosariana V.P.Castro & J.B.F.Silva
Acacallis rosariana,user_synonyms,synonym_of,Aganisia cyanea,13179,,Heterotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",explicit,0,3,Aganisia cyanea,Acacallis rosariana
Acampe papillosa,wcvp,synonym_of,Acampe carinata|Acampe praemorsa,1424,(Lindl.) Lindl.,Homotypic,parent_conflict,"placed in 2 different parents: Acampe carinata, Acampe praemorsa",explicit,0,3,Acampe carinata|Acampe praemorsa,Acampe papillosa (Lindl.) Lindl.
Acampe papillosa,wfo,synonym_of,Acampe carinata|Acampe praemorsa,wfo-0000259114,(Lindl.) Lindl.,Unknown,parent_conflict,"placed in 2 different parents: Acampe carinata, Acampe praemorsa",explicit,0,3,Acampe carinata|Acampe praemorsa,Acampe papillosa (Lindl.) Lindl.
Acampe papillosa,user_synonyms,synonym_of,Acampe carinata|Acampe praemorsa,1,,Homotypic,parent_conflict,"placed in 2 different parents: Acampe carinata, Acampe praemorsa",explicit,0,3,Acampe carinata|Acampe praemorsa,Acampe papillosa
Acampe rigida,wcvp,synonym_of,Acampe praemorsa,1428,(Buch.-Ham. ex Sm.) P.F.Hunt,Heterotypic,status_conflict,"accepted by cites_csv, cites_pdf; treated as a synonym by wcvp, wfo (of Acampe praemorsa)",explicit,2,2,Acampe praemorsa,Acampe rigida (Buch.-Ham. ex Sm.) P.F.Hunt
Acampe rigida,wfo,synonym_of,Acampe praemorsa,wfo-0000259545,(Buch.-Ham. ex Sm.) P.F.Hunt,Unknown,status_conflict,"accepted by cites_csv, cites_pdf; treated as a synonym by wcvp, wfo (of Acampe praemorsa)",explicit,2,2,Acampe praemorsa,Acampe rigida (Buch.-Ham. ex Sm.) P.F.Hunt
Acampe rigida,cites_csv,accepted,,15475,"(Buch.-Ham. ex Sm.) P.F.Hunt, 1970",,status_conflict,"accepted by cites_csv, cites_pdf; treated as a synonym by wcvp, wfo (of Acampe praemorsa)",explicit,2,2,Acampe praemorsa,"Acampe rigida (Buch.-Ham. ex Sm.) P.F.Hunt, 1970"
Acampe rigida,cites_pdf,accepted,,,(Buch.-Ham. ex Sm.) P.F.Hunt,,status_conflict,"accepted by cites_csv, cites_pdf; treated as a synonym by wcvp, wfo (of Acampe praemorsa)",implied_by_synonym_row,2,2,Acampe praemorsa,Acampe rigida (Buch.-Ham. ex Sm.) P.F.Hunt
Acanthoglossum nervosum,wcvp,synonym_of,Coelogyne nervillosa,1468,Blume,Homotypic,parent_contested,"all 2 source(s) place it in Coelogyne nervillosa, but Coelogyne nervillosa is itself contested",explicit,0,2,Coelogyne nervillosa,Acanthoglossum nervosum Blume
Acanthoglossum nervosum,wfo,synonym_of,Coelogyne nervillosa,wfo-0000263719,Blume,Unknown,parent_contested,"all 2 source(s) place it in Coelogyne nervillosa, but Coelogyne nervillosa is itself contested",explicit,0,2,Coelogyne nervillosa,Acanthoglossum nervosum Blume
Acanthophippium curtisii,wcvp,accepted+synonym_of,Acanthophippium sylhetense,1438,,,status_conflict,"accepted by cites_csv, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium sylhetense)",explicit,3,3,Acanthophippium sylhetense,
Acanthophippium curtisii,wfo,accepted+synonym_of,Acanthophippium sylhetense,wfo-0001221852,,,status_conflict,"accepted by cites_csv, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium sylhetense)",explicit,3,3,Acanthophippium sylhetense,
Acanthophippium curtisii,cites_csv,accepted,,96861,"Rchb.f., 1881",,status_conflict,"accepted by cites_csv, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium sylhetense)",explicit,3,3,Acanthophippium sylhetense,"Acanthophippium curtisii Rchb.f., 1881"
Acanthophippium curtisii,user_synonyms,synonym_of,Acanthophippium sylhetense,13139,,Heterotypic,status_conflict,"accepted by cites_csv, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium sylhetense)",explicit,3,3,Acanthophippium sylhetense,Acanthophippium curtisii var. albidum
Acanthophippium ringiflorum,wcvp,synonym_of,Acanthophippium sylhetense,1449,Griff.,Heterotypic,parent_contested,"all 3 source(s) place it in Acanthophippium sylhetense, but Acanthophippium sylhetense is itself contested",explicit,0,3,Acanthophippium sylhetense,Acanthophippium ringiflorum Griff.
Acanthophippium ringiflorum,wfo,synonym_of,Acanthophippium sylhetense,wfo-0000261728,Griff.,Unknown,parent_contested,"all 3 source(s) place it in Acanthophippium sylhetense, but Acanthophippium sylhetense is itself contested",explicit,0,3,Acanthophippium sylhetense,Acanthophippium ringiflorum Griff.
Acanthophippium ringiflorum,user_synonyms,synonym_of,Acanthophippium sylhetense,13140,,Heterotypic,parent_contested,"all 3 source(s) place it in Acanthophippium sylhetense, but Acanthophippium sylhetense is itself contested",explicit,0,3,Acanthophippium sylhetense,Acanthophippium ringiflorum
Acanthophippium sinense,wcvp,accepted,,1451,Rolfe,,status_conflict,"accepted by cites_csv, wcvp; treated as a synonym by wfo (of Acanthophippium striatum)",explicit,2,1,Acanthophippium striatum,Acanthophippium sinense Rolfe
Acanthophippium sinense,wfo,synonym_of,Acanthophippium striatum,wfo-0000261929,Rolfe,Unknown,status_conflict,"accepted by cites_csv, wcvp; treated as a synonym by wfo (of Acanthophippium striatum)",explicit,2,1,Acanthophippium striatum,Acanthophippium sinense Rolfe
Acanthophippium sinense,cites_csv,accepted,,96856,"Rolfe, 1913",,status_conflict,"accepted by cites_csv, wcvp; treated as a synonym by wfo (of Acanthophippium striatum)",explicit,2,1,Acanthophippium striatum,"Acanthophippium sinense Rolfe, 1913"
Acanthophippium sylhetense,wcvp,accepted+synonym_of,Acanthophippium pictum,1454,,,status_conflict,"accepted by cites_csv, user_synonyms, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium pictum)",explicit,4,3,Acanthophippium pictum,
Acanthophippium sylhetense,wfo,accepted+synonym_of,Acanthophippium pictum,wfo-0000262239,,,status_conflict,"accepted by cites_csv, user_synonyms, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium pictum)",explicit,4,3,Acanthophippium pictum,
Acanthophippium sylhetense,cites_csv,accepted,,79470,"Lindl., 1831",,status_conflict,"accepted by cites_csv, user_synonyms, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium pictum)",explicit,4,3,Acanthophippium pictum,"Acanthophippium sylhetense Lindl., 1831"
Acanthophippium sylhetense,user_synonyms,accepted+synonym_of,Acanthophippium pictum,19630,,Homotypic,status_conflict,"accepted by cites_csv, user_synonyms, wcvp, wfo; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium pictum)",explicit,4,3,Acanthophippium pictum,Acanthophippium sylhetense var. pictum
Acanthophippium unguiculatum,wcvp,synonym_of,Acanthophippium striatum,1457,(Hayata) Fukuy.,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium striatum)",explicit,1,3,Acanthophippium striatum,Acanthophippium unguiculatum (Hayata) Fukuy.
Acanthophippium unguiculatum,wfo,synonym_of,Acanthophippium striatum,wfo-0000262543,(Hayata) Fukuy.,Unknown,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium striatum)",explicit,1,3,Acanthophippium striatum,Acanthophippium unguiculatum (Hayata) Fukuy.
Acanthophippium unguiculatum,cites_csv,accepted,,96854,"(Hayata) Fukuy., 1934",,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium striatum)",explicit,1,3,Acanthophippium striatum,"Acanthophippium unguiculatum (Hayata) Fukuy., 1934"
Acanthophippium unguiculatum,user_synonyms,synonym_of,Acanthophippium striatum,12,,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium striatum)",explicit,1,3,Acanthophippium striatum,Acanthophippium unguiculatum
Acanthophippium vitiense,wcvp,synonym_of,Acanthophippium splendidum,1458,L.O.Williams,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Acanthophippium splendidum)",explicit,1,2,Acanthophippium splendidum,Acanthophippium vitiense L.O.Williams
Acanthophippium vitiense,wfo,synonym_of,Acanthophippium splendidum,wfo-0000262652,L.O.Williams,Unknown,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Acanthophippium splendidum)",explicit,1,2,Acanthophippium splendidum,Acanthophippium vitiense L.O.Williams
Acanthophippium vitiense,cites_csv,accepted,,96853,"L.O.Williams, 1941",,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Acanthophippium splendidum)",explicit,1,2,Acanthophippium splendidum,"Acanthophippium vitiense L.O.Williams, 1941"
Acanthophippium yamamotoi,wcvp,synonym_of,Acanthophippium sylhetense,1459,Hayata,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium sylhetense)",explicit,1,3,Acanthophippium sylhetense,Acanthophippium yamamotoi Hayata
Acanthophippium yamamotoi,wfo,synonym_of,Acanthophippium sylhetense,wfo-0000262758,Hayata,Unknown,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium sylhetense)",explicit,1,3,Acanthophippium sylhetense,Acanthophippium yamamotoi Hayata
Acanthophippium yamamotoi,cites_csv,accepted,,96852,"Hayata, 1916",,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium sylhetense)",explicit,1,3,Acanthophippium sylhetense,"Acanthophippium yamamotoi Hayata, 1916"
Acanthophippium yamamotoi,user_synonyms,synonym_of,Acanthophippium sylhetense,13141,,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acanthophippium sylhetense)",explicit,1,3,Acanthophippium sylhetense,Acanthophippium yamamotoi
Aceras affine,wcvp,synonym_of,Himantoglossum caprinum,1652,Boiss.,Heterotypic,parent_contested,"all 2 source(s) place it in Himantoglossum caprinum, but Himantoglossum caprinum is itself contested",explicit,0,2,Himantoglossum caprinum,Aceras affine Boiss.
Aceras affine,wfo,synonym_of,Himantoglossum caprinum,wfo-0000282897,Boiss.,Unknown,parent_contested,"all 2 source(s) place it in Himantoglossum caprinum, but Himantoglossum caprinum is itself contested",explicit,0,2,Himantoglossum caprinum,Aceras affine Boiss.
Aceras anthropophorum,wcvp,synonym_of,Neotinea maculata|Orchis anthropophora,1656,(L.) W.T.Aiton,Homotypic,parent_conflict,"placed in 2 different parents: Neotinea maculata, Orchis anthropophora",explicit,0,3,Neotinea maculata|Orchis anthropophora,Aceras anthropophorum (L.) W.T.Aiton
Aceras anthropophorum,wfo,synonym_of,Neotinea maculata|Orchis anthropophora,wfo-0000283315,(L.) R.Br.,Unknown,parent_conflict,"placed in 2 different parents: Neotinea maculata, Orchis anthropophora",explicit,0,3,Neotinea maculata|Orchis anthropophora,Aceras anthropophorum (L.) R.Br.
Aceras anthropophorum,user_synonyms,synonym_of,Neotinea maculata|Orchis anthropophora,8530,,Heterotypic,parent_conflict,"placed in 2 different parents: Neotinea maculata, Orchis anthropophora",explicit,0,3,Neotinea maculata|Orchis anthropophora,Aceras anthropophorum f. apiculatum
Aceras bolleanum,wcvp,synonym_of,Himantoglossum caprinum,1662,Siehe,Heterotypic,parent_contested,"all 2 source(s) place it in Himantoglossum caprinum, but Himantoglossum caprinum is itself contested",explicit,0,2,Himantoglossum caprinum,Aceras bolleanum Siehe
Aceras bolleanum,wfo,synonym_of,Himantoglossum caprinum,wfo-0000283905,Siehe,Unknown,parent_contested,"all 2 source(s) place it in Himantoglossum caprinum, but Himantoglossum caprinum is itself contested",explicit,0,2,Himantoglossum caprinum,Aceras bolleanum Siehe
Aceras caprinum,wcvp,synonym_of,Himantoglossum calcaratum|Himantoglossum caprinum,1664,(M.Bieb.) Lindl.,Homotypic,parent_conflict,"placed in 2 different parents: Himantoglossum calcaratum, Himantoglossum caprinum",explicit,0,2,Himantoglossum calcaratum|Himantoglossum caprinum,Aceras caprinum (M.Bieb.) Lindl.
Aceras caprinum,wfo,synonym_of,Himantoglossum calcaratum|Himantoglossum caprinum,wfo-0000284088,(M.Bieb.) Lindl.,Unknown,parent_conflict,"placed in 2 different parents: Himantoglossum calcaratum, Himantoglossum caprinum",explicit,0,2,Himantoglossum calcaratum|Himantoglossum caprinum,Aceras caprinum (M.Bieb.) Lindl.
Aceras fragrans,wcvp,synonym_of,Orchis punctulata,1668,Kotschy ex Soó,Heterotypic,parent_contested,"all 2 source(s) place it in Orchis punctulata, but Orchis punctulata is itself contested",explicit,0,2,Orchis punctulata,Aceras fragrans Kotschy ex Soó
Aceras fragrans,wfo,synonym_of,Orchis punctulata,wfo-0000284483,Kotschy ex Soó,Unknown,parent_contested,"all 2 source(s) place it in Orchis punctulata, but Orchis punctulata is itself contested",explicit,0,2,Orchis punctulata,Aceras fragrans Kotschy ex Soó
Aceras hircina,wfo,synonym_of,Himantoglossum caprinum,wfo-0000839295,(M.Bieb.) Rchb.f.,Unknown,parent_contested,"all 1 source(s) place it in Himantoglossum caprinum, but Himantoglossum caprinum is itself contested",explicit,0,1,Himantoglossum caprinum,Aceras hircina var. caprina (M.Bieb.) Rchb.f.
Aceras hircinum,wcvp,synonym_of,Himantoglossum caprinum|Himantoglossum hircinum,1669,(L.) Lindl.,Homotypic,parent_conflict,"placed in 3 different parents: Himantoglossum caprinum, Himantoglossum hircinum, Himantoglossum calcaratum",explicit,0,3,Himantoglossum caprinum|Himantoglossum hircinum|Himantoglossum calcaratum,Aceras hircinum (L.) Lindl.
Aceras hircinum,wfo,synonym_of,Himantoglossum calcaratum|Himantoglossum caprinum|Himantoglossum hircinum,wfo-0000284592,(L.) Lindl.,Unknown,parent_conflict,"placed in 3 different parents: Himantoglossum caprinum, Himantoglossum hircinum, Himantoglossum calcaratum",explicit,0,3,Himantoglossum caprinum|Himantoglossum hircinum|Himantoglossum calcaratum,Aceras hircinum (L.) Lindl.
Aceras hircinum,user_synonyms,synonym_of,Himantoglossum hircinum,8390,,Heterotypic,parent_conflict,"placed in 3 different parents: Himantoglossum caprinum, Himantoglossum hircinum, Himantoglossum calcaratum",explicit,0,3,Himantoglossum caprinum|Himantoglossum hircinum|Himantoglossum calcaratum,Aceras hircinum var. thuringiacum
Aceras pyramidale,wcvp,synonym_of,Anacamptis pyramidalis,1675,(L.) Rchb.f.,Homotypic,parent_contested,"all 3 source(s) place it in Anacamptis pyramidalis, but Anacamptis pyramidalis is itself contested",explicit,0,3,Anacamptis pyramidalis,Aceras pyramidale (L.) Rchb.f.
Aceras pyramidale,wfo,synonym_of,Anacamptis pyramidalis,wfo-0000285230,(L.) Rchb.f.,Unknown,parent_contested,"all 3 source(s) place it in Anacamptis pyramidalis, but Anacamptis pyramidalis is itself contested",explicit,0,3,Anacamptis pyramidalis,Aceras pyramidale (L.) Rchb.f.
Aceras pyramidale,user_synonyms,synonym_of,Anacamptis pyramidalis,145,,Homotypic,parent_contested,"all 3 source(s) place it in Anacamptis pyramidalis, but Anacamptis pyramidalis is itself contested",explicit,0,3,Anacamptis pyramidalis,Aceras pyramidale
Aceras pyramidalis,wfo,synonym_of,Anacamptis pyramidalis,wfo-0000968577,(d'Urv.) Rchb.f.,Unknown,parent_contested,"all 1 source(s) place it in Anacamptis pyramidalis, but Anacamptis pyramidalis is itself contested",explicit,0,1,Anacamptis pyramidalis,Aceras pyramidalis var. brachystachys (d'Urv.) Rchb.f.
Achroanthes corymbosa,wcvp,synonym_of,Malaxis corymbosa,1796,(S.Watson) Greene,Homotypic,parent_conflict,"placed in 2 different parents: Malaxis corymbosa, Malaxis brachystachys",explicit,0,2,Malaxis corymbosa|Malaxis brachystachys,Achroanthes corymbosa (S.Watson) Greene
Achroanthes corymbosa,wfo,synonym_of,Malaxis brachystachys,wfo-0000297786,(S.Watson) Greene,Unknown,parent_conflict,"placed in 2 different parents: Malaxis corymbosa, Malaxis brachystachys",explicit,0,2,Malaxis corymbosa|Malaxis brachystachys,Achroanthes corymbosa (S.Watson) Greene
Achroanthes maianthemifolia,wcvp,synonym_of,Malaxis maianthemifolia,1800,(Cham. & Schltdl.) Greene,Homotypic,parent_contested,"all 2 source(s) place it in Malaxis maianthemifolia, but Malaxis maianthemifolia is itself contested",explicit,0,2,Malaxis maianthemifolia,Achroanthes maianthemifolia (Cham. & Schltdl.) Greene
Achroanthes maianthemifolia,wfo,synonym_of,Malaxis maianthemifolia,wfo-0000298189,(Cham. & Schltdl.) Greene,Unknown,parent_contested,"all 2 source(s) place it in Malaxis maianthemifolia, but Malaxis maianthemifolia is itself contested",explicit,0,2,Malaxis maianthemifolia,Achroanthes maianthemifolia (Cham. & Schltdl.) Greene
Acianthella amplexicaulis,wcvp,synonym_of,Stigmatodactylus amplexicaulis,217413,(F.M.Bailey) D.L.Jones & M.A.Clem.,Homotypic,parent_conflict,"placed in 2 different parents: Stigmatodactylus amplexicaulis, Acianthus amplexicaulis",explicit,0,2,Stigmatodactylus amplexicaulis|Acianthus amplexicaulis,Acianthella amplexicaulis (F.M.Bailey) D.L.Jones & M.A.Clem.
Acianthella amplexicaulis,wfo,synonym_of,Acianthus amplexicaulis,wfo-0000337059,(F.M.Bailey) D.L.Jones & M.A.Clem.,Unknown,parent_conflict,"placed in 2 different parents: Stigmatodactylus amplexicaulis, Acianthus amplexicaulis",explicit,0,2,Stigmatodactylus amplexicaulis|Acianthus amplexicaulis,Acianthella amplexicaulis (F.M.Bailey) D.L.Jones & M.A.Clem.
Acianthella sublesta,wcvp,synonym_of,Stigmatodactylus sublestus,217418,(Dockrill) D.L.Jones & M.A.Clem.,Homotypic,parent_conflict,"placed in 2 different parents: Stigmatodactylus sublestus, Acianthus amplexicaulis",explicit,0,2,Stigmatodactylus sublestus|Acianthus amplexicaulis,Acianthella sublesta (Dockrill) D.L.Jones & M.A.Clem.
Acianthella sublesta,wfo,synonym_of,Acianthus amplexicaulis,wfo-0000337064,(Dockrill) D.L.Jones & M.A.Clem.,Unknown,parent_conflict,"placed in 2 different parents: Stigmatodactylus sublestus, Acianthus amplexicaulis",explicit,0,2,Stigmatodactylus sublestus|Acianthus amplexicaulis,Acianthella sublesta (Dockrill) D.L.Jones & M.A.Clem.
Acianthera antennata,wcvp,synonym_of,Acianthera gracilisepala,217429,(Garay) Pridgeon & M.W.Chase,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acianthera gracilisepala)",explicit,1,3,Acianthera gracilisepala,Acianthera antennata (Garay) Pridgeon & M.W.Chase
Acianthera antennata,wfo,synonym_of,Acianthera gracilisepala,wfo-0000337076,(Garay) Pridgeon & M.W.Chase,Unknown,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acianthera gracilisepala)",explicit,1,3,Acianthera gracilisepala,Acianthera antennata (Garay) Pridgeon & M.W.Chase
Acianthera antennata,cites_csv,accepted,,68974,"(Garay) Pridgeon & M.W.Chase, 2001",,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acianthera gracilisepala)",explicit,1,3,Acianthera gracilisepala,"Acianthera antennata (Garay) Pridgeon & M.W.Chase, 2001"
Acianthera antennata,user_synonyms,synonym_of,Acianthera gracilisepala,21787,,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acianthera gracilisepala)",explicit,1,3,Acianthera gracilisepala,Acianthera antennata
Acianthera atrata,wcvp,synonym_of,Pabstiella atrata,519715,Chiron & Xim.Bols.,Homotypic,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Pabstiella atrata)",explicit,1,2,Pabstiella atrata,Acianthera atrata Chiron & Xim.Bols.
Acianthera atrata,wfo,synonym_of,Pabstiella atrata,wfo-0001345914,Chiron & Xim.Bols.,Unknown,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Pabstiella atrata)",explicit,1,2,Pabstiella atrata,Acianthera atrata Chiron & Xim.Bols.
Acianthera atrata,cites_csv,accepted,,97109,"Chiron & Xim.Bols., 2016",,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Pabstiella atrata)",explicit,1,2,Pabstiella atrata,"Acianthera atrata Chiron & Xim.Bols., 2016"
Acianthera dichroa,wcvp,synonym_of,Acianthera strupifolia,466671,(Rchb.f.) F.Barros & L.R.S.Guim.,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acianthera strupifolia)",explicit,1,3,Acianthera strupifolia,Acianthera dichroa (Rchb.f.) F.Barros & L.R.S.Guim.
Acianthera dichroa,wfo,synonym_of,Acianthera strupifolia,wfo-0000921083,(Rchb.f.) F.Barros & L.R.S.Guim.,Unknown,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acianthera strupifolia)",explicit,1,3,Acianthera strupifolia,Acianthera dichroa (Rchb.f.) F.Barros & L.R.S.Guim.
Acianthera dichroa,cites_csv,accepted,,81910,"(Rchb.f.) F.Barros & L.R.S.Guim., 2010",,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acianthera strupifolia)",explicit,1,3,Acianthera strupifolia,"Acianthera dichroa (Rchb.f.) F.Barros & L.R.S.Guim., 2010"
Acianthera dichroa,user_synonyms,synonym_of,Acianthera strupifolia,20226,,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by user_synonyms, wcvp, wfo (of Acianthera strupifolia)",explicit,1,3,Acianthera strupifolia,Acianthera dichroa
Acianthera gradeae,wcvp,synonym_of,Acianthera agathophylla,488921,Chiron & Benelli,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Acianthera agathophylla)",explicit,1,2,Acianthera agathophylla,Acianthera gradeae Chiron & Benelli
